College_Code,College_Name,Branch_Code,Branch_Name,OC,BC,BCM,MBC,SC,SCA,ST,BC_is_missing,BCM_is_missing,MBC_is_missing,SC_is_missing,SCA_is_missing,ST_is_missing,College_Name_is_missing,Branch_Code_is_missing,Branch_Name_is_missing
4,15,39,96,178.0,171.5,169.0,163.5,144.0,124.0,131.25,False,False,False,False,False,False,False,False,False
5,2,3,32,152.5,126.5,109.5,110.5,98.5,110.5,167.0,False,False,False,False,False,True,False,False,False
5,2,7,33,117.0,92.0,106.5,80.0,80.0,161.75,167.0,False,False,False,False,True,True,False,False,False
5,2,9,26,116.5,85.0,111.5,83.0,96.5,161.75,167.0,False,False,False,False,True,True,False,False,False
5,2,10,24,155.0,116.5,136.5,107.0,113.0,161.75,167.0,False,False,False,False,True,True,False,False,False
5,2,14,31,139.0,106.0,81.0,115.5,112.0,107.0,167.0,False,False,False,False,False,True,False,False,False
5,2,15,28,104.5,188.5,186.375,87.5,82.0,161.75,167.0,True,True,False,False,True,True,False,False,False
5,2,16,45,163.0,120.5,94.0,120.5,119.0,95.5,91.0,False,False,False,False,False,False,False,False,False
5,2,17,41,115.0,84.0,109.0,87.0,91.5,94.0,167.0,False,False,False,False,False,True,False,False,False
5,2,18,48,81.5,188.5,186.375,184.625,172.5,98.5,167.0,True,True,True,True,False,True,False,False,False
5,2,27,64,125.0,83.0,80.5,88.5,93.5,106.5,167.0,False,False,False,False,False,True,False,False,False
5,2,30,79,120.5,82.5,94.0,94.0,104.5,86.0,167.0,False,False,False,False,False,True,False,False,False
5,2,33,81,82.5,188.5,186.375,80.0,79.0,161.75,167.0,True,True,False,False,True,True,False,False,False
1013,11,14,31,150.5,133.5,122.0,121.0,109.0,84.5,103.0,False,False,False,False,False,False,False,False,False
1013,11,16,45,140.5,109.5,104.5,108.5,98.0,105.5,167.0,False,False,False,False,False,True,False,False,False
1013,11,27,64,138.5,108.0,186.375,122.5,98.5,161.75,167.0,False,True,False,False,True,True,False,False,False
1013,11,30,79,127.0,81.0,91.0,103.5,81.0,98.0,167.0,False,False,False,False,False,True,False,False,False
1013,11,42,80,101.0,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1014,10,9,26,87.0,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1014,10,14,31,130.5,113.5,104.5,118.0,100.5,161.75,167.0,False,False,False,False,True,True,False,False,False
1014,10,16,45,116.0,93.0,98.5,87.5,94.5,122.5,167.0,False,False,False,False,False,True,False,False,False
1,13,8,14,191.0,190.0,189.5,189.0,182.0,156.5,165.5,False,False,False,False,False,False,False,False,False
1,13,9,26,190.0,190.0,190.0,186.5,182.5,182.0,178.3333333,False,False,False,False,False,False,False,False,False
1,13,12,34,196.0,194.5,193.5,192.0,188.5,181.5,185.5,False,False,False,False,False,False,False,False,False
1,13,14,31,198.25,197.0,196.5,195.0,192.0,193.5,195.5,False,False,False,False,False,False,False,False,False
1,13,16,45,196.5,194.5,192.0,192.0,190.0,186.5,189.0,False,False,False,False,False,False,False,False,False
1,13,17,41,193.5,191.5,193.0,190.5,189.0,190.0,176.5,False,False,False,False,False,False,False,False,False
1,13,19,44,193.5,192.0,190.5,190.0,185.0,166.5,165.5,False,False,False,False,False,False,False,False,False
1,13,22,53,190.0,188.0,182.5,185.0,172.5,180.5,179.0,False,False,False,False,False,False,False,False,False
1,13,24,62,190.0,187.0,186.5,180.5,171.5,155.0,167.0,False,False,False,False,False,True,False,False,False
1,13,25,63,193.5,192.0,190.5,190.0,180.5,163.0,170.0,False,False,False,False,False,False,False,False,False
1,13,29,75,188.0,185.0,178.5,178.5,164.0,142.5,167.0,False,False,False,False,False,True,False,False,False
1,13,30,79,192.0,190.0,190.0,189.5,183.5,160.0,176.0,False,False,False,False,False,False,False,False,False
1,13,32,83,185.0,180.0,174.5,175.0,167.5,147.0,167.0,False,False,False,False,False,True,False,False,False
1,13,34,74,187.0,184.5,179.0,178.5,168.5,144.5,167.0,False,False,False,False,False,True,False,False,False
1,13,38,92,179.0,176.5,168.0,169.75,166.5,131.0,167.0,False,False,False,False,False,True,False,False,False
1,13,41,27,175.0,164.5,164.0,168.5,151.5,157.0,167.0,False,False,False,False,False,True,False,False,False
1,13,42,80,177.0,163.5,151.5,170.5,161.5,161.75,137.5,False,False,False,False,True,False,False,False,False
2,12,4,8,163.5,159.5,146.0,151.5,142.0,115.5,167.0,False,False,False,False,False,True,False,False,False
2,12,10,24,190.0,190.0,186.0,183.0,174.0,146.5,184.0,False,False,False,False,False,False,False,False,False
2,12,11,25,189.0,186.5,184.5,177.5,159.5,135.5,167.0,False,False,False,False,False,True,False,False,False
2,12,13,22,168.5,159.5,150.0,157.0,140.5,120.0,167.0,False,False,False,False,False,True,False,False,False
2,12,21,50,187.0,183.0,181.0,175.0,172.5,149.0,126.5,False,False,False,False,False,False,False,False,False
2,12,23,60,192.0,190.0,187.0,184.0,173.5,154.0,167.0,False,False,False,False,False,True,False,False,False
2,12,26,59,190.0,190.0,185.0,178.0,168.0,141.5,167.0,False,False,False,False,False,True,False,False,False
2,12,28,67,167.5,163.0,162.5,154.5,147.5,123.5,113.5,False,False,False,False,False,False,False,False,False
2,12,35,90,182.5,177.5,174.5,166.0,156.0,134.0,173.0,False,False,False,False,False,False,False,False,False
